,Date,Name,Text,Hashtags
50,2020-07-24 22:25:34+00:00,realDailyWire,‘I Just Can’t Get On Board’: SF Giants Player Cites Christian Faith As Reason For Refusing To Kneel For BLM http://dlvr.it/RcJtNJ,
51,2020-07-24 20:52:04+00:00,realDailyWire,WALSH: I Looked Up Every Case Of An Unarmed Black Man Shot By Cops In 2019. Here’s The Truth The Media And BLM Are Hiding. http://dlvr.it/RcJgKL,
52,2020-07-24 16:13:32+00:00,realDailyWire,Man Arrested After Kneeling On Baby’s Neck In Post Declaring ‘BLM Now’ http://dlvr.it/RcHvyS,
53,2020-07-23 10:00:32+00:00,realDailyWire,CA City Approves BLM Mural. Then A Citizen Requests MAGA 2020 Mural. BLM Mural Gets Removed. http://dlvr.it/RcBxZw,
54,2020-07-22 22:53:33+00:00,realDailyWire,CA City Approves BLM Mural. Then A Citizen Requests MAGA 2020 Mural. BLM Mural Gets Removed. http://dlvr.it/Rc9T0G,
55,2020-07-19 13:44:33+00:00,realDailyWire,WATCH: Black Woman Pours Paint Over BLM Street Art: ‘All Lives Matter!’ ‘We’re Taking Our Country Back!’ ‘Refund The Police!’ http://dlvr.it/Rbx0Xp,
56,2020-07-18 07:30:33+00:00,realDailyWire,Two Arrested For Splashing Paint On De Blasio’s BLM Mural http://dlvr.it/RbsYVZ,
57,2020-07-17 22:58:33+00:00,realDailyWire,Two Arrested For Splashing Paint On De Blasio’s BLM Mural http://dlvr.it/RbrhST,
58,2020-07-14 11:49:32+00:00,realDailyWire,"Paint Splashed On De Blasio’s BLM Mural. With Shootings Soaring, He Makes Sure It’s Fixed ASAP. http://dlvr.it/Rbb947",
59,2020-07-13 07:32:33+00:00,realDailyWire,Black Lives Matter Activists Want To ‘Abolish Capitalism.’ Vendors Selling BLM Merch Just Got Shut Down In Black Lives Matter Plaza. http://dlvr.it/RbVZZd,
60,2020-07-12 21:53:32+00:00,realDailyWire,"Young Mother Shot To Death After Telling BLM Supporters ‘All Lives Matter,’ Family Says http://dlvr.it/RbTVW8",
61,2020-07-12 19:47:06+00:00,realDailyWire,"BLM v. MAGA: Protesters Square Off In New York City Over Police Support, ‘Black Lives Matter’ Street Mural http://dlvr.it/RbTHB3",
62,2020-07-12 13:32:09+00:00,realDailyWire,"Young Mother Shot To Death After Telling BLM Supporters ‘All Lives Matter,’ Family Says http://dlvr.it/RbSSks",
